bloque;period;camera;charact_SBOF;ID original;ID_unique;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;ele;nombre del lugar;habitat;NDVI.bloque;Ndvi.celda;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;fuego.bloque;fuego.celda;H;h;fract;conuco.dist.m;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun;ln.comun;dis_river;dis_river_ln
B04;P1;IS01;b0;Is01;Is01;5,562218037;-61,18524397;2015-10-04;13:50:00;2015-12-09;12:35;2015-12-09;12:35:00;66;935;Kadak tepui;bosque;0,568123;0,662;no;0;no;0;0;1;7;0;1,54;39,4;0,004980149;8,8;2,2;82;4,406719247;0,05835482;1,763956876;1181,926;7,074900924
B04;P2;IS01;b0;Is01;Is01_1;5,562218037;-61,18524397;2015-12-09;12:35:00;2016-01-31;16:01;2016-01-31;16:01:00;53;935;Kadak tepui;bosque;0,568123;0,662;no;0;no;0;0;1;7;0;1,54;39,4;0,004980149;8,8;2,2;82;4,406719247;0,05835482;1,763956876;1181,926;7,074900924
B04;P3;IS01;b0;Is01;Is01_2;5,562218037;-61,18524397;2016-01-31;16:02:00;2016-04-01;10:49;2016-04-01;10:49:00;61;935;Kadak tepui;bosque;0,568123;0,662;no;0;no;0;0;1;7;0;1,54;39,4;0,004980149;8,8;2,2;82;4,406719247;0,05835482;1,763956876;1181,926;7,074900924
B04;P1;IS21;s0;Is21;Is21;5,546915028;-61,17736196;2015-10-04;17:00:00;2015-12-09;08:34;2015-12-09;08:34:00;66;913;cerca case de Eugenio;bosque;0,568123;0,595;no;0;no;0;0;1;7;1;1,54;39,4;0,004980149;105,8;4,7;26;3,258096538;0,007989604;-0,224443875;1033,213;6,940428235
B04;P2;IS21;s0;Is21;Is21_2;5,546915028;-61,17736196;2015-12-09;08:34:00;2016-01-31;07:18;2016-01-31;07:18:00;53;913;cerca case de Eugenio;bosque;0,568123;0,595;no;0;no;0;0;1;7;1;1,54;39,4;0,004980149;105,8;4,7;26;3,258096538;0,007989604;-0,224443875;1033,213;6,940428235
B04;P3;IS21;sF;Is21-n;Is21-n;5,5868;-61,1853;2016-01-31;12:17:00;2016-04-01;14:14;2016-03-11;13:43:11;40;911,748535;Mare Paru;sabana;0,568123;0,523;si;1;no;0;0;1;7;1;1,54;39,4;0,004980149;1908,6;7,6;26;3,258096538;0,033236566;1,201065575;919,687;6,824033935
B04;P1;IS22;Bf;Is22;Is22;5,556129003;-61,185077;2015-10-04;12:00:00;2015-12-09;11:07;2015-12-09;11:07:00;66;1188;Kadak tepui;bosque;0,568123;0,732;no;0;antes;2;0;1;7;0;1,54;39,4;0,004980149;670,4;6,5;72;4,276666119;0,008998757;-0,105498633;1493,138;7,308635016
B04;P2;IS22;Bf;Is22;Is22_1;5,556129003;-61,185077;2015-12-09;11:07:00;2016-01-31;17:03;2016-01-31;17:03:00;53;1188;Kadak tepui;bosque;0,568123;0,732;no;0;antes;2;0;1;7;0;1,54;39,4;0,004980149;670,4;6,5;72;4,276666119;0,008998757;-0,105498633;1493,138;7,308635016
B04;P3;IS22;Bf;Is22;Is22_2;5,556129003;-61,185077;2016-01-31;17:04:00;2016-04-01;09:51;2016-02-18;06:50:00;18;1188;Kadak tepui;bosque;0,568123;0,732;no;0;antes;2;0;1;7;0;1,54;39,4;0,004980149;670,4;6,5;72;4,276666119;0,008998757;-0,105498633;1493,138;7,308635016
B04;P1;IS23;b0;Is23;Is23;5,56954097;-61,17646602;2015-10-04;15:40:00;2015-12-09;15:00;2015-12-09;15:00:00;66;924;Kadak tepui;bosque;0,568123;0,643;no;0;antes;2;0;1;7;0;1,54;39,4;0,004980149;234,8;5,5;63;4,143134726;0,014727949;0,387161881;1581,285;7,365992777
B04;P2;IS23;b0;Is23;Is23_1;5,56954097;-61,17646602;2015-12-09;15:00:00;2016-01-31;09:12;2016-01-31;09:12:00;53;924;Kadak tepui;bosque;0,568123;0,643;no;0;antes;2;0;1;7;0;1,54;39,4;0,004980149;234,8;5,5;63;4,143134726;0,014727949;0,387161881;1581,285;7,365992777
B04;P3;IS23;B0;Is23-n;Is23-n;5,562;-61,198;2016-01-31;14:00:00;2016-04-01;11:40;2016-04-01;11:40:00;61;953,363464;Mare Paru;bosque;0,568123;0,693;no;0;si;1;1;1;7;0;1,54;39,4;0,004980149;625,6;6,4;81;4,394449155;0,022977401;0,831926062;311,754;5,742213094
B04;P1;LEE07;s0;Lee07;Lee07;5,560050979;-61,17989003;2015-10-04;11:30:00;2015-12-09;10:32;2015-12-09;10:32:00;66;1052;Kadak tepui;bosque ;0,568123;0,615;no;0;antes;2;0;1;7;0;1,54;39,4;0,004980149;469,2;6,2;71;4,262679877;0,006419554;-0,443236387;1733,889;7,458122326
B04;P2;LEE07;s0;Lee07;Lee07_1;5,560050979;-61,17989003;2015-12-09;10:32:00;2016-01-31;17:29;2016-01-12;01:18:28;34;1052;Kadak tepui;bosque ;0,568123;0,615;no;0;antes;2;0;1;7;0;1,54;39,4;0,004980149;469,2;6,2;71;4,262679877;0,006419554;-0,443236387;1733,889;7,458122326
B04;P3;LEE07;s0;Lee07;Lee07_2;5,560050979;-61,17989003;2016-01-31;17:30:00;2016-04-01;10:01;2016-03-08;05:29:19;37;1052;Kadak tepui;bosque ;0,568123;0,615;no;0;antes;2;0;1;7;0;1,54;39,4;0,004980149;469,2;6,2;71;4,262679877;0,006419554;-0,443236387;1733,889;7,458122326
B05;P1;IS03;sF;Is03-new;Is03-new;5,530373007;-61,09485302;2015-10-07;15:00:00;2015-12-06;07:57;2015-12-06;07:57:00;60;907;rio wuarpa;bosqe ribereno;0,670088;0,57;no;0;si;1;1;7;20;1;1,5;53;0,005100546;2607,6;7,9;51;3,931825633;0,029633024;1,086304333;474,348;6,161942067
B05;P2;IS03;sF;Is03-new;Is03-new_1;5,530373007;-61,09485302;2015-12-06;07:57:00;2016-02-05;14:08;2016-02-05;14:08:00;61;907;rio wuarpa;bosqe ribereno;0,670088;0,57;no;0;si;1;1;7;20;1;1,5;53;0,005100546;2607,6;7,9;51;3,931825633;0,029633024;1,086304333;474,348;6,161942067
B05;P1;IS07;b0;Is07;Is07;5,459101014;-61,08397398;2015-10-02;12:57:00;2015-12-03;13:00;2015-12-03;13:00:00;62;926;quebrada Wuarpa;bosque;0,670088;0,777;no;0;antes;2;0;7;20;0;1,5;53;0,005100546;1025,3;6,9;30;3,401197382;0,089170229;2,187962138;468,813;6,150204004
B05;P3;IS07;bf;Is07-2n;Is07-2n;5,4952;-61,074;2016-02-02;09:23:00;2016-04-03;15:26;2016-04-03;15:26:00;61;1118,330078;San Jose de Monorepa;bosque;0,670088;0,74;no;0;si;1;1;7;20;0;1,5;53;0,005100546;1153,2;7,1;60;4,094344562;0,05836814;1,764185108;210,597;5,349945782
B05;P2;IS07;Sf;Is07-n;Is07-n;5,5078;-61,1062;2015-12-04;12:00:00;2016-02-01;10:23;2016-02-01;10:23:00;59;861,512146;San Jose de Wuarpa;arbustral;0,670088;0,424;si;1;no;0;0;7;20;2;1,5;53;0,005100546;2313,8;7,7;15;2,708050201;0,049940884;1,608254889;992,138;6,89986263
B05;P1;IS17;bf;Is17;Is17;5,468123965;-61,08369797;2015-10-01;14:50:00;2015-12-03;13:56;2015-12-03;13:56:00;63;916;rio Wuarupa;bosque galeria;0,670088;0,679;no;0;si;1;1;7;20;1;1,5;53;0,005100546;78,5;4,4;33;3,496507561;0,084393976;2,132910937;445,252;6,098640928
B05;P2;IS17;bf;Is17;Is17_1;5,468123965;-61,08369797;2015-12-03;13:56:00;2016-02-01;14:35;2016-02-01;14:35:00;60;916;rio Wuarupa;bosque galeria;0,670088;0,679;no;0;si;1;1;7;20;1;1,5;53;0,005100546;78,5;4,4;33;3,496507561;0,084393976;2,132910937;445,252;6,098640928
B05;P3;IS17;s0;Is17-2n;Is17-2n;5,471;-61,095;2016-02-02;13:15:00;2016-04-03;09:41;2016-02-29;12:08:00;27;1148,10437;San Jose de Monorepa;sabana;0,670088;0,612;si;1;no;0;0;7;20;0;1,5;53;0,005100546;1355,6;7,2;19;2,944438979;0,073340619;1,992529511;165,944;5,111649832
B05;P1;LEE01;bF;Lee01;Lee01;5,464605996;-61,09155097;2015-10-01;14:00:00;2015-12-03;11:35;2015-12-03;11:35:00;63;906;San Jose Monorepa;arbol sabana;0,670088;0,738;si;1;no;0;0;7;20;0;1,5;53;0,005100546;1031,1;6,9;16;2,772588722;0,079804628;2,076996403;116,289;4,756076976
B05;P3;LEE01;sF;Lee01-2n;Lee01-2n;5,5009;-61,0827;2016-02-02;10:17:00;2016-04-03;14:46;2016-04-03;14:46:00;61;1117,760864;San Jose de Monorepa;sabana/bosque;0,670088;0,641;si;1;si;1;1;7;20;1;1,5;53;0,005100546;38,1;3,6;45;3,80666249;0,053023312;1,66814658;157,987;5,062514102
B05;P2;LEE01;sf;Lee01-n;Lee01-n;5,494;-61,0911;2015-12-04;10:27:00;2016-02-01;11:16;2016-02-01;11:16:00;59;846,433716;San Jose de Wuarpa;bosque primario;0,670088;0,492;no;0;antes;2;0;7;20;3;1,5;53;0,005100546;59,5;4,1;50;3,912023005;0,061318522;1,813496864;565,523;6,337751208
B05;P1;LEE03;b0;Lee03;Lee03;5,488863979;-61,09472;2015-10-02;15:45:00;2015-12-03;10:35;2015-12-03;10:35:00;62;901;quebrada Wuarpa;bosque;0,670088;0,686;no;0;antes;2;0;7;20;0;1,5;53;0,005100546;714,5;6,6;44;3,784189634;0,065357981;1,877294467;260,056;5,560896641
B05;P2;LEE03;b0;Lee03-n;Lee03-n;5,4888;-61,0947;2015-12-04;09:20:00;2016-02-01;11:43;2016-02-01;11:43:00;59;839,258423;San Jose de Wuarpa;bosque primario;0,670088;0,686;no;0;antes;2;0;7;20;0;1,5;53;0,005100546;713,7;6,6;44;3,784189634;0,065400296;1,87794169;263,752;5,575009432
B05;P3;LEE03;B0;Lee03-q2;Lee03-q2;5,462;-61,073;2016-02-01;15:39:00;2016-04-03;12:20;2016-02-22;15:42:09;21;862,249268;San Jose de Monorepa;bosque;0,670088;0,856;no;0;antes;2;0;7;20;0;1,5;53;0,005100546;1312;7,2;73;4,290459441;0,091576429;2,214588818;29,458;3,382971746
B05;P1;LEE04;bf;Lee04;Lee04;5,480016042;-61,08581297;2015-10-01;17:50:00;2015-12-03;15:00;2015-12-03;15:00:00;63;909;rio Wuarupa;bosque;0,670088;0,526;no;0;si;1;1;7;20;1;1,5;53;0,005100546;1329,6;7,2;38;3,63758616;0,074106597;2,002919465;317,825;5,761501581
B06;P3;IS03;S0;Is03-2n;Is03-2n;5,5097;-61,1443;2016-02-05;16:33:00;2016-03-31;15:30;2016-02-15;11:16:58;10;921,592468;Wuarapata;sabana;0,539494;0,369;si;1;no;0;0;7;30;1;1,61;20,3;0,005659109;1380;7,2;28;3,33220451;0,011819002;0,16712349;1316,473;7,182711504
B06;P1;IS10;BF;Is10;Is10;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;09:10:00;61;1015;quebrada Maura;bosque;0,539494;0,818;no;0;si;1;1;7;30;1;1,61;20,3;0,005659109;925,6;6,8;70;4,248495242;0,019564237;0,671118142;171,609;5,145217278
B06;P2;IS10;BF;Is10;Is10_1;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;09:10:00;61;1015;quebrada Maura;bosque;0,539494;0,818;no;0;si;1;1;7;30;1;1,61;20,3;0,005659109;925,6;6,8;70;4,248495242;0,019564237;0,671118142;171,609;5,145217278
B06;P3;IS10;BF;Is10;Is10_2;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;09:10:00;61;1015;quebrada Maura;bosque;0,539494;0,818;no;0;si;1;1;7;30;1;1,61;20,3;0,005659109;925,6;6,8;70;4,248495242;0,019564237;0,671118142;171,609;5,145217278
B06;P1;IS11;s0;Is11;Is11;5,518101985;-61,18875498;2015-09-30;12:00:00;2015-12-02;12:16;2015-12-02;12:16:00;63;1134;conuco Feliciano;borde bosque sabana;0,539494;0,616;no;0;si;1;1;7;30;2;1,61;20,3;0,005659109;166,3;5,1;17;2,833213344;0,033425067;1,206721023;141,68;4,953574296
B06;P3;IS11;S0;Is11-2n;Is11-2n;5,5238;-61,1584;2016-02-07;17:10:00;2016-04-01;17:31;2016-04-01;17:31:00;54;918,06543;Wuarapata;sabana;0,539494;0,464;si;1;no;0;0;7;30;0;1,61;20,3;0,005659109;2717;7,9;11;2,397895273;0,012261698;0,203895291;1860,742;7,528730701
B06;P2;IS11;b0;Is11-n;Is11-n;5,5216;-61,1907;2015-12-02;12:45:00;2016-02-03;09:32;2016-02-03;09:32:00;63;1158,573364;Wuarapata;bosque primario;0,539494;0,631;no;0;no;0;0;7;30;1;1,61;20,3;0,005659109;310,8;5,7;37;3,610917913;0,036147956;1,285035325;253,582;5,535688041
B06;P1;IS18;S0;Is18;Is18;5,491164979;-61,17481202;2015-09-29;12:50:00;2015-12-01;14:35;2015-12-01;14:35:00;63;1112;quebrada Auriepa;borde bosque;0,539494;0,462;si;1;no;0;0;7;30;3;1,61;20,3;0,005659109;805,4;6,7;9;2,197224577;0,027932301;1,02719868;453,471;6,116931835
B06;P3;IS18;s0;Is18-2n;Is18-2n;5,5075;-61,162;2016-02-03;11:41:00;2016-03-31;14:36;2016-03-01;11:59:35;27;561,605042;Wuarapata;sabana;0,539494;0,478;si;1;no;0;0;7;30;2;1,61;20,3;0,005659109;1444,9;7,3;9;2,197224577;0,007415601;-0,298999103;1736,1;7,459396605
B06;P2;IS18;bF;Is18-n;Is18-n;5,5153;-61,1837;2015-12-02;11:00:00;2016-02-03;08:37;2016-02-03;08:37:00;63;1046,502441;Wuarapata;bosque primario;0,539494;0,627;no;0;no;0;0;7;30;2;1,61;20,3;0,005659109;235,7;5,5;64;4,158883083;0,028017754;1,030253281;683,187;6,526767907
B06;P1;LEE05;sF;Lee05;Lee05;5,49633896;-61,15676897;2015-09-29;10:30:00;2015-12-01;10:05:50;2015-12-01;10:05:50;63;959;quebrada Maura;bosque;0,539494;0,518;no;0;si;1;1;7;30;4;1,61;20,3;0,005659109;932,5;6,8;23;3,135494216;0,015439203;0,434324838;595,355;6,389158304
B06;P2;LEE05;sF;Lee05;Lee05_1;5,49633896;-61,15676897;2015-12-01;10:05:00;2016-01-31;11:21:00;2016-01-31;11:21:00;61;959;quebrada Maura;bosque;0,539494;0,518;no;0;si;1;1;7;30;4;1,61;20,3;0,005659109;932,5;6,8;23;3,135494216;0,015439203;0,434324838;595,355;6,389158304
B06;P3;LEE05;SF;Lee05-n;Lee05-n;5,498;-61,1461;2016-01-30;12:59:00;2016-03-31;10:20;2016-03-30;11:19:00;60;949,22998;Wuarapata;sabana/bosque;0,539494;0,55;si;1;no;0;0;7;30;0;1,61;20,3;0,005659109;271,3;5,6;37;3,610917913;0,01695447;0,52794645;163,509;5,096865836
B06;P1;LEE06;bF;Lee06;Lee06;5,490932968;-61,16616399;2015-09-29;14:09:00;2015-12-01;13:38;2015-11-02;23:48:10;34;1091;conuco cap. Narcizo;bosque;0,539494;0,689;no;0;si;1;1;7;30;4;1,61;20,3;0,005659109;263,6;5,6;76;4,33073334;0,023198328;0,841495114;1144,659;7,042861655
